freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.699e+02,2.693e+01,1.003e+01,7.068e+02
1.5,3.764e+02,2.850e+01,2.001e+01,4.249e+02
2.9,1.517e+01,1.679e+01,1.941e+01,5.137e+01
4.4,2.170e+02,1.826e+01,2.112e+01,2.564e+02
5.9,1.045e+03,1.840e+01,2.332e+01,1.087e+03
7.3,1.828e+03,1.866e+01,2.189e+01,1.868e+03
8.8,2.525e+03,1.728e+01,2.127e+01,2.563e+03
10.3,3.422e+03,1.730e+01,2.040e+01,3.460e+03
11.7,4.549e+03,1.838e+01,2.080e+01,4.588e+03
13.2,5.832e+03,1.767e+01,2.307e+01,5.873e+03
14.7,7.051e+03,1.860e+01,2.379e+01,7.094e+03
16.1,8.617e+03,1.767e+01,2.175e+01,8.657e+03
17.6,1.061e+04,1.820e+01,2.352e+01,1.065e+04
19.1,1.257e+04,1.861e+01,2.494e+01,1.262e+04
20.5,1.499e+04,1.931e+01,2.181e+01,1.503e+04
22.0,1.812e+04,1.875e+01,2.233e+01,1.816e+04
23.5,2.076e+04,1.704e+01,2.841e+01,2.081e+04
24.9,2.285e+04,1.871e+01,3.123e+01,2.290e+04
26.4,2.617e+04,2.687e+01,3.391e+01,2.623e+04
27.9,3.011e+04,3.840e+01,5.071e+01,3.019e+04
29.3,3.493e+04,4.427e+01,6.389e+01,3.504e+04
30.8,4.080e+04,4.809e+01,7.083e+01,4.092e+04
32.3,4.655e+04,5.682e+01,6.796e+01,4.667e+04
33.7,5.180e+04,6.723e+01,7.278e+01,5.194e+04
35.2,5.860e+04,6.425e+01,8.207e+01,5.874e+04
36.7,6.809e+04,6.032e+01,8.450e+01,6.824e+04
38.1,8.045e+04,6.595e+01,1.047e+02,8.062e+04
39.6,9.278e+04,7.275e+01,1.184e+02,9.298e+04
41.1,1.106e+05,8.084e+01,1.200e+02,1.108e+05
42.5,1.324e+05,1.210e+02,1.635e+02,1.327e+05
44.0,1.478e+05,2.862e+02,2.966e+02,1.484e+05
45.5,1.664e+05,5.374e+02,4.430e+02,1.674e+05
46.9,2.005e+05,7.937e+02,6.038e+02,2.019e+05
48.4,2.410e+05,9.460e+02,6.953e+02,2.427e+05
49.9,2.741e+05,9.347e+02,6.714e+02,2.757e+05
51.3,3.370e+05,1.021e+03,7.637e+02,3.388e+05
52.8,4.462e+05,1.303e+03,1.085e+03,4.486e+05
54.3,5.941e+05,1.645e+03,1.484e+03,5.973e+05
55.8,7.957e+05,1.880e+03,1.748e+03,7.993e+05
57.2,1.071e+06,2.566e+03,2.392e+03,1.076e+06
58.7,1.581e+06,3.704e+03,3.817e+03,1.588e+06
60.2,2.349e+06,4.698e+03,6.437e+03,2.360e+06
61.6,2.954e+06,5.993e+03,9.241e+03,2.969e+06
63.1,3.119e+06,1.093e+04,9.103e+03,3.139e+06
64.6,2.991e+06,2.222e+04,9.319e+03,3.022e+06
66.0,2.652e+06,3.339e+04,1.227e+04,2.698e+06
67.5,2.154e+06,4.258e+04,1.751e+04,2.214e+06
69.0,1.728e+06,5.219e+04,2.703e+04,1.807e+06
70.4,1.417e+06,5.510e+04,3.487e+04,1.507e+06
71.9,1.169e+06,5.197e+04,3.363e+04,1.255e+06
73.4,9.727e+05,5.417e+04,3.150e+04,1.058e+06
74.8,7.973e+05,5.905e+04,3.253e+04,8.888e+05
76.3,6.464e+05,6.252e+04,3.515e+04,7.441e+05
77.8,5.415e+05,6.552e+04,3.857e+04,6.456e+05
79.2,4.677e+05,6.252e+04,4.039e+04,5.706e+05
80.7,3.961e+05,4.676e+04,3.697e+04,4.798e+05
82.2,3.113e+05,2.829e+04,2.811e+04,3.677e+05
83.6,2.461e+05,1.936e+04,2.061e+04,2.861e+05
85.1,2.207e+05,1.692e+04,1.642e+04,2.540e+05
86.6,2.115e+05,1.624e+04,1.517e+04,2.429e+05
88.0,2.009e+05,1.098e+04,1.501e+04,2.268e+05
89.5,1.802e+05,4.405e+03,1.278e+04,1.974e+05
91.0,1.596e+05,1.933e+03,9.418e+03,1.710e+05
92.4,1.463e+05,1.047e+03,6.801e+03,1.541e+05
93.9,1.381e+05,2.601e+03,3.365e+03,1.441e+05
95.4,1.273e+05,3.395e+03,1.972e+03,1.327e+05
96.8,1.194e+05,1.761e+03,2.194e+03,1.233e+05
98.3,1.075e+05,2.587e+03,2.857e+03,1.129e+05
99.8,9.669e+04,6.664e+03,2.823e+03,1.062e+05
101.2,9.121e+04,9.897e+03,2.542e+03,1.036e+05
102.7,7.775e+04,1.116e+04,1.818e+03,9.073e+04
104.2,5.937e+04,1.173e+04,1.080e+03,7.218e+04
105.6,4.265e+04,1.164e+04,5.420e+02,5.483e+04
107.1,3.274e+04,1.298e+04,2.883e+02,4.600e+04
108.6,3.132e+04,2.013e+04,1.699e+02,5.162e+04
110.0,5.043e+04,5.559e+04,3.790e+02,1.064e+05
111.5,1.145e+05,1.173e+05,1.930e+03,2.337e+05
113.0,2.308e+05,1.821e+05,5.517e+03,4.185e+05
114.4,3.344e+05,2.094e+05,8.795e+03,5.526e+05
115.9,3.957e+05,2.094e+05,1.043e+04,6.156e+05
117.4,4.311e+05,1.918e+05,1.100e+04,6.339e+05
118.8,4.465e+05,1.700e+05,1.074e+04,6.272e+05
120.3,4.565e+05,1.465e+05,1.007e+04,6.130e+05
121.8,4.644e+05,1.238e+05,8.917e+03,5.971e+05
123.2,4.651e+05,1.013e+05,7.734e+03,5.741e+05
124.7,4.597e+05,7.968e+04,6.512e+03,5.459e+05
126.2,4.449e+05,6.261e+04,5.078e+03,5.126e+05
127.6,4.259e+05,5.276e+04,4.065e+03,4.828e+05
129.1,4.074e+05,4.624e+04,3.440e+03,4.571e+05
130.6,3.944e+05,4.530e+04,2.855e+03,4.426e+05
132.0,3.384e+05,4.165e+04,2.115e+03,3.821e+05
133.5,1.057e+05,1.670e+04,8.634e+02,1.233e+05
135.0,1.075e+04,6.157e+03,3.767e+02,1.729e+04
136.4,8.312e+03,5.732e+03,3.282e+02,1.437e+04
137.9,7.685e+03,5.627e+03,3.003e+02,1.361e+04
139.4,6.955e+03,5.614e+03,2.654e+02,1.283e+04
140.8,6.261e+03,5.698e+03,2.344e+02,1.219e+04
142.3,5.689e+03,5.419e+03,2.107e+02,1.132e+04
143.8,5.104e+03,5.133e+03,1.811e+02,1.042e+04
145.2,4.862e+03,5.125e+03,1.716e+02,1.016e+04
146.7,4.960e+03,5.241e+03,1.651e+02,1.037e+04
148.2,5.508e+03,5.554e+03,1.603e+02,1.122e+04
149.6,6.955e+03,6.603e+03,1.780e+02,1.374e+04
151.1,7.369e+03,6.791e+03,1.792e+02,1.434e+04
152.6,6.935e+03,6.074e+03,1.660e+02,1.318e+04
154.0,7.031e+03,5.170e+03,1.504e+02,1.235e+04
155.5,7.928e+03,4.656e+03,1.468e+02,1.273e+04
157.0,8.802e+03,4.820e+03,1.656e+02,1.379e+04
158.5,9.629e+03,4.956e+03,1.982e+02,1.478e+04
159.9,1.022e+04,4.437e+03,2.086e+02,1.486e+04
161.4,1.067e+04,4.313e+03,2.150e+02,1.520e+04
162.9,1.067e+04,3.837e+03,2.119e+02,1.472e+04
164.3,1.062e+04,3.409e+03,2.155e+02,1.425e+04
165.8,1.080e+04,3.207e+03,2.221e+02,1.422e+04
167.3,1.212e+04,3.041e+03,1.948e+02,1.535e+04
168.7,1.448e+04,2.954e+03,1.792e+02,1.762e+04
170.2,1.667e+04,2.516e+03,1.819e+02,1.936e+04
171.7,2.305e+04,2.604e+03,1.974e+02,2.586e+04
173.1,3.025e+04,2.884e+03,2.240e+02,3.336e+04
174.6,2.909e+04,3.077e+03,2.211e+02,3.239e+04
176.1,2.587e+04,3.471e+03,2.203e+02,2.956e+04
177.5,2.066e+04,2.462e+03,1.820e+02,2.331e+04
179.0,1.630e+04,1.280e+03,1.220e+02,1.770e+04
180.5,1.500e+04,1.581e+03,1.289e+02,1.671e+04
181.9,1.595e+04,1.805e+03,1.468e+02,1.790e+04
183.4,1.706e+04,1.867e+03,1.548e+02,1.908e+04
184.9,1.709e+04,2.002e+03,1.703e+02,1.926e+04
186.3,1.540e+04,2.437e+03,1.599e+02,1.799e+04
187.8,1.367e+04,2.633e+03,1.431e+02,1.644e+04
189.3,1.242e+04,2.318e+03,1.385e+02,1.488e+04
190.7,1.148e+04,2.435e+03,1.272e+02,1.404e+04
