freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.169e+00,4.928e+02,1.930e+01,5.172e+02
1.5,1.527e+01,2.828e+02,2.990e+01,3.280e+02
3.0,1.455e+01,2.117e+01,2.569e+01,6.141e+01
4.4,1.562e+01,2.411e+02,2.672e+01,2.835e+02
5.9,1.808e+01,1.133e+03,2.862e+01,1.180e+03
7.4,1.921e+01,1.868e+03,2.661e+01,1.913e+03
8.9,1.828e+01,2.201e+03,2.590e+01,2.246e+03
10.3,2.228e+01,2.891e+03,2.842e+01,2.941e+03
11.8,2.750e+01,3.923e+03,2.767e+01,3.978e+03
13.3,3.262e+01,5.263e+03,2.602e+01,5.321e+03
14.8,4.344e+01,6.899e+03,2.455e+01,6.967e+03
16.2,4.449e+01,8.714e+03,2.387e+01,8.782e+03
17.7,4.291e+01,1.061e+04,2.482e+01,1.067e+04
19.2,4.315e+01,1.295e+04,2.842e+01,1.302e+04
20.7,3.724e+01,1.643e+04,3.137e+01,1.650e+04
22.1,6.087e+01,2.037e+04,2.607e+01,2.046e+04
23.6,8.783e+01,2.456e+04,2.488e+01,2.467e+04
25.1,8.732e+01,2.943e+04,3.820e+01,2.956e+04
26.6,1.068e+02,3.534e+04,4.450e+01,3.549e+04
28.0,1.200e+02,4.249e+04,7.035e+01,4.268e+04
29.5,1.067e+02,5.151e+04,7.800e+01,5.169e+04
31.0,1.105e+02,6.392e+04,5.507e+01,6.409e+04
32.5,1.284e+02,7.962e+04,3.829e+01,7.979e+04
33.9,1.434e+02,1.006e+05,4.329e+01,1.008e+05
35.4,1.567e+02,1.275e+05,1.036e+02,1.278e+05
36.9,1.911e+02,1.713e+05,2.169e+02,1.717e+05
38.4,2.512e+02,2.399e+05,4.127e+02,2.406e+05
39.8,3.179e+02,3.487e+05,1.129e+03,3.502e+05
41.3,4.434e+02,5.994e+05,3.904e+03,6.037e+05
42.8,7.280e+02,1.089e+06,1.086e+04,1.101e+06
44.3,1.255e+03,1.767e+06,1.834e+04,1.786e+06
45.7,1.525e+03,2.152e+06,2.262e+04,2.176e+06
47.2,1.235e+03,1.763e+06,2.314e+04,1.787e+06
48.7,8.627e+02,1.168e+06,2.074e+04,1.189e+06
50.2,6.930e+02,7.689e+05,1.613e+04,7.857e+05
51.6,7.441e+02,6.283e+05,1.804e+04,6.470e+05
53.1,8.071e+02,5.394e+05,2.144e+04,5.617e+05
54.6,7.313e+02,4.438e+05,1.925e+04,4.637e+05
56.1,6.801e+02,3.617e+05,1.643e+04,3.789e+05
57.6,6.018e+02,2.990e+05,1.419e+04,3.137e+05
59.0,5.364e+02,2.587e+05,1.209e+04,2.713e+05
60.5,5.305e+02,2.296e+05,1.094e+04,2.410e+05
62.0,5.152e+02,2.029e+05,1.086e+04,2.143e+05
63.5,4.846e+02,1.802e+05,1.098e+04,1.916e+05
64.9,5.466e+02,1.592e+05,1.197e+04,1.717e+05
66.4,6.128e+02,1.320e+05,1.493e+04,1.475e+05
67.9,6.309e+02,1.045e+05,2.141e+04,1.266e+05
69.4,7.133e+02,8.898e+04,3.199e+04,1.217e+05
70.8,7.901e+02,8.461e+04,4.661e+04,1.320e+05
72.3,8.385e+02,8.646e+04,5.214e+04,1.394e+05
73.8,6.918e+02,9.074e+04,5.121e+04,1.426e+05
75.3,5.941e+02,9.746e+04,4.990e+04,1.480e+05
76.7,6.502e+02,1.053e+05,4.686e+04,1.528e+05
78.2,7.674e+02,1.161e+05,4.580e+04,1.627e+05
79.7,9.781e+02,1.266e+05,4.474e+04,1.724e+05
81.2,1.269e+03,1.219e+05,3.733e+04,1.605e+05
82.6,1.530e+03,9.806e+04,2.693e+04,1.265e+05
84.1,1.877e+03,8.881e+04,2.469e+04,1.154e+05
85.6,2.111e+03,9.593e+04,3.022e+04,1.283e+05
87.1,1.901e+03,1.104e+05,3.653e+04,1.488e+05
88.5,2.552e+03,1.345e+05,4.509e+04,1.821e+05
90.0,2.882e+03,1.442e+05,4.819e+04,1.953e+05
91.5,2.373e+03,1.274e+05,4.377e+04,1.736e+05
93.0,1.949e+03,9.997e+04,3.705e+04,1.390e+05
94.4,1.692e+03,7.369e+04,3.040e+04,1.058e+05
95.9,1.585e+03,6.158e+04,2.687e+04,9.003e+04
97.4,3.420e+03,6.382e+04,2.088e+04,8.812e+04
98.9,6.879e+03,9.689e+04,1.292e+04,1.167e+05
100.3,1.040e+04,1.637e+05,8.615e+03,1.827e+05
101.8,1.251e+04,2.297e+05,7.799e+03,2.500e+05
103.3,1.229e+04,2.636e+05,8.902e+03,2.848e+05
104.8,1.013e+04,2.423e+05,1.016e+04,2.626e+05
106.3,7.542e+03,2.086e+05,1.252e+04,2.286e+05
107.7,5.834e+03,1.801e+05,1.551e+04,2.015e+05
109.2,4.506e+03,1.599e+05,1.836e+04,1.828e+05
